hiy,diy,hid,KBH_1,KBH_2,KBH_3,KBH_4,KBH_5,KBH_6,KBH_7,KBH_8,KBH_9,KBH_10,KBH_11,KBH_12,KBH_13,KBH_14,AAR_1,AAR_2,AAR_3,AAR_4,AAR_5,AAR_6,AAR_7,AAR_8,AAR_9,TVIS_1,TVIS_2,TVIS_3,TVIS_4,TVIS_5,TVIS_6,copenhagen (MWh),TVIS (MWh),Aarhus (MWh)
10,1,10,272.9817874,181.9878583,181.9878583,181.9878583,90.99392914,90.99392914,90.99392914,181.9878583,181.9878583,90.99392914,90.99392914,90.99392914,90.99392914,181.9878583,201.5402728,100.7701364,100.7701364,100.7701364,100.7701364,100.7701364,100.7701364,100.7701364,100.7701364,90.24191319,90.24191319,120.3225509,90.24191319,120.3225509,90.24191319,1819.878583,601.6127546,1007.701364
11,1,11,277.3731892,184.9154594,184.9154594,184.9154594,92.45772972,92.45772972,92.45772972,184.9154594,184.9154594,92.45772972,92.45772972,92.45772972,92.45772972,184.9154594,204.7824096,102.3912048,102.3912048,102.3912048,102.3912048,102.3912048,102.3912048,102.3912048,102.3912048,91.69361625,91.69361625,122.258155,91.69361625,122.258155,91.69361625,1849.154594,611.290775,1023.912048
12,1,12,270.9684537,180.6456358,180.6456358,180.6456358,90.32281791,90.32281791,90.32281791,180.6456358,180.6456358,90.32281791,90.32281791,90.32281791,90.32281791,180.6456358,200.0538446,100.0269223,100.0269223,100.0269223,100.0269223,100.0269223,100.0269223,100.0269223,100.0269223,89.57634834,89.57634834,119.4351311,89.57634834,119.4351311,89.57634834,1806.456358,597.1756556,1000.269223
13,1,13,271.5957968,181.0638646,181.0638646,181.0638646,90.53193228,90.53193228,90.53193228,181.0638646,181.0638646,90.53193228,90.53193228,90.53193228,90.53193228,181.0638646,200.517007,100.2585035,100.2585035,100.2585035,100.2585035,100.2585035,100.2585035,100.2585035,100.2585035,89.78373449,89.78373449,119.711646,89.78373449,119.711646,89.78373449,1810.638646,598.5582299,1002.585035
14,1,14,264.7533802,176.5022534,176.5022534,176.5022534,88.25112672,88.25112672,88.25112672,176.5022534,176.5022534,88.25112672,88.25112672,88.25112672,88.25112672,176.5022534,195.4653055,97.73265273,97.73265273,97.73265273,97.73265273,97.73265273,97.73265273,97.73265273,97.73265273,87.52177856,87.52177856,116.6957048,87.52177856,116.6957048,87.52177856,1765.022534,583.4785238,977.3265273
15,1,15,269.5532844,179.7021896,179.7021896,179.7021896,89.8510948,89.8510948,89.8510948,179.7021896,179.7021896,89.8510948,89.8510948,89.8510948,89.8510948,179.7021896,199.0090364,99.5045182,99.5045182,99.5045182,99.5045182,99.5045182,99.5045182,99.5045182,99.5045182,89.10852376,89.10852376,118.811365,89.10852376,118.811365,89.10852376,1797.021896,594.0568251,995.045182
16,1,16,271.2164731,180.8109821,180.8109821,180.8109821,90.40549103,90.40549103,90.40549103,180.8109821,180.8109821,90.40549103,90.40549103,90.40549103,90.40549103,180.8109821,200.2369553,100.1184777,100.1184777,100.1184777,100.1184777,100.1184777,100.1184777,100.1184777,100.1184777,89.65833821,89.65833821,119.5444509,89.65833821,119.5444509,89.65833821,1808.109821,597.7222547,1001.184777
17,1,17,266.3582114,177.5721409,177.5721409,177.5721409,88.78607045,88.78607045,88.78607045,177.5721409,177.5721409,88.78607045,88.78607045,88.78607045,88.78607045,177.5721409,196.6501395,98.32506976,98.32506976,98.32506976,98.32506976,98.32506976,98.32506976,98.32506976,98.32506976,88.05230128,88.05230128,117.4030684,88.05230128,117.4030684,88.05230128,1775.721409,587.0153418,983.2506976
18,1,18,266.0810132,177.3873422,177.3873422,177.3873422,88.69367108,88.69367108,88.69367108,177.3873422,177.3873422,88.69367108,88.69367108,88.69367108,88.69367108,177.3873422,196.4454864,98.22274318,98.22274318,98.22274318,98.22274318,98.22274318,98.22274318,98.22274318,98.22274318,87.96066553,87.96066553,117.2808874,87.96066553,117.2808874,87.96066553,1773.873422,586.4044369,982.2274318
19,1,19,264.0822689,176.054846,176.054846,176.054846,88.02742298,88.02742298,88.02742298,176.054846,176.054846,88.02742298,88.02742298,88.02742298,88.02742298,176.054846,194.9698294,97.4849147,97.4849147,97.4849147,97.4849147,97.4849147,97.4849147,97.4849147,97.4849147,87.29992361,87.29992361,116.3998981,87.29992361,116.3998981,87.29992361,1760.54846,581.9994907,974.849147
20,1,20,249.6971456,166.4647637,166.4647637,166.4647637,83.23238187,83.23238187,83.23238187,166.4647637,166.4647637,83.23238187,83.23238187,83.23238187,83.23238187,166.4647637,184.3494078,92.17470389,92.17470389,92.17470389,92.17470389,92.17470389,92.17470389,92.17470389,92.17470389,82.54451095,82.54451095,110.0593479,82.54451095,110.0593479,82.54451095,1664.647637,550.2967396,921.7470389
21,1,21,239.0177234,159.345149,159.345149,159.345149,79.67257448,79.67257448,79.67257448,159.345149,159.345149,79.67257448,79.67257448,79.67257448,79.67257448,159.345149,176.4648757,88.23243785,88.23243785,88.23243785,88.23243785,88.23243785,88.23243785,88.23243785,88.23243785,79.01412345,79.01412345,105.3521646,79.01412345,105.3521646,79.01412345,1593.45149,526.760823,882.3243785
22,1,22,231.9856449,154.6570966,154.6570966,154.6570966,77.3285483,77.3285483,77.3285483,154.6570966,154.6570966,77.3285483,77.3285483,77.3285483,77.3285483,154.6570966,171.2731483,85.63657415,85.63657415,85.63657415,85.63657415,85.63657415,85.63657415,85.63657415,85.63657415,76.68946939,76.68946939,102.2526258,76.68946939,102.2526258,76.68946939,1546.570966,511.2631292,856.3657415
23,1,23,217.8631303,145.2420869,145.2420869,145.2420869,72.62104344,72.62104344,72.62104344,145.2420869,145.2420869,72.62104344,72.62104344,72.62104344,72.62104344,145.2420869,160.8466086,80.4233043,80.4233043,80.4233043,80.4233043,80.4233043,80.4233043,80.4233043,80.4233043,72.02086953,72.02086953,96.02782604,72.02086953,96.02782604,72.02086953,1452.420869,480.1391302,804.233043
